Website ID,Date,Widget ID,Clicks,Impressions,Revenue
1397,2020-04-14,4648,356,27456000000,335719996
1397,2020-04-15,4648,298,18158000000,289239996
1397,2020-04-15,4788,4,0,1400000
1397,2020-04-16,4648,308,27982000000,539839998
1397,2020-04-17,4648,178,11934000000,201040000
1397,2020-04-17,4788,0,6000000,0
1397,2020-04-18,4648,262,21678000000,246119996
1397,2020-04-18,4788,6,0,0
1397,2020-04-19,4648,200,15912000000,330959996
1397,2020-04-20,4648,366,27952000000,353079994
1397,2020-04-20,4788,2,0,0
1397,2020-04-21,4648,408,24592000000,516319986
1397,2020-04-21,4788,8,0,1400000
1397,2020-04-22,4648,266,18018000000,391831992
1397,2020-04-23,4648,244,14790000000,251691998
1397,2020-04-24,4648,288,23844000000,622761992
1397,2020-04-24,4788,2,0,0
1397,2020-04-25,4648,270,24084000000,709715986
1397,2020-04-26,4648,554,42932000000,890035986
1397,2020-04-27,4648,424,32416000000,327039992
1397,2020-04-28,4648,490,38070000000,629439986
1397,2020-04-29,4648,1110,67082000000,406559992
1397,2020-04-30,4648,1562,84808000000,634759988
1397,2020-05-01,4648,962,44930000000,262079994
1397,2020-05-02,4648,1284,51710000000,270479994
1397,2020-05-02,4788,2,0,0
1397,2020-05-03,4648,982,40428000000,137199990
1397,2020-05-04,4648,688,31692000000,73079994
1397,2020-05-05,4648,948,39554000000,193479992
1397,2020-05-06,4648,528,19732000000,0
1400,2020-02-26,4654,140,-38000000,877369968
1400,2020-02-27,4654,154,-46000000,648699972
1400,2020-02-28,4654,140,-40000000,877239968
1400,2020-02-29,4654,156,-42000000,1128919952
1400,2020-03-01,4654,108,-38000000,701609970
1400,2020-03-02,4654,70,-26000000,450059986
1400,2020-03-03,4654,108,-34000000,602549974
1400,2020-03-04,4654,154,-38000000,1057809968
1400,2020-03-05,4654,308,-58000000,1916784958
1400,2020-03-06,4654,254,-58000000,1490709966
1400,2020-03-07,4654,558,-70000000,2979339958
1400,2020-03-08,4654,702,-64000000,4067699930
1400,2020-03-09,4654,360,-56000000,2013374948
1400,2020-03-10,4654,242,-42000000,1623049952
1400,2020-03-11,4654,138,-40000000,729299970
1400,2020-03-12,4654,142,-44000000,735799966
1400,2020-03-13,4654,176,-42000000,800799962
1400,2020-03-14,4654,156,-32000000,818479964
1400,2020-03-15,4654,112,-34000000,525199978
1400,2020-03-16,4654,114,-40000000,732419970
1400,2020-03-17,4654,166,-36000000,977729976
1400,2020-03-18,4654,132,-32000000,854359976
1400,2020-03-19,4654,140,-34000000,758159978
1400,2020-03-20,4654,148,-38000000,646099976
1400,2020-03-21,4654,122,-34000000,709279976
1400,2020-03-22,4654,82,-24000000,324479988
1400,2020-03-23,4654,100,-24000000,471509980
1400,2020-03-24,4654,82,-30000000,422499976
1400,2020-03-25,4654,126,-34000000,568099978
1400,2020-03-26,4654,158,-40000000,674179976
1400,2020-03-27,4654,130,-36000000,531179988
1400,2020-03-28,4654,112,-32000000,585389982
1400,2020-03-29,4654,108,-32000000,608399974
1400,2020-03-30,4654,82,-28000000,448499980
1400,2020-03-31,4654,124,-36000000,1144779960
1400,2020-04-01,4654,86,-30000000,644409968
